Heap,N,FindMin_Avg,FindMin_Max,DeleteMin_Avg,DeleteMin_Max,Insert_Avg,Insert_Max
BinaryHeap,1000,0.0,4.999637603759765e-06,1.999616622924805e-06,0.0005018711090087891,1.0001659393310548e-06,0.0005044937133789062
BinaryHeap,10000,0.0,4.999637603759765e-06,3.998756408691406e-06,0.0005004405975341797,1.4998912811279298e-06,0.0005013942718505859
BinaryHeap,100000,5.004405975341797e-07,0.0005004405975341797,5.971193313598633e-06,0.0005304813385009766,1.0290145874023437e-06,0.0005288124084472656
BinaryHeap,1000000,0.0,2.00653076171875e-05,9.496212005615234e-06,0.0005285739898681641,1.4989376068115234e-06,0.0005002021789550781
BinaryHeap,10000000,5.01394271850586e-07,0.0005013942718505859,1.0499477386474609e-05,0.0005309581756591797,9.696483612060547e-07,0.0005042552947998047
