Heap,N,FindMin_Avg,FindMin_Max,DeleteMin_Avg,DeleteMin_Max,Insert_Avg,Insert_Max
FibonacciHeap,1000,0.0,0,9.6893310546875e-07,0.0004987716674804688,2.0160675048828124e-06,0.0005183219909667969
FibonacciHeap,10000,0.0,5.035400390625e-06,9.95159149169922e-07,0.0005121231079101562,9.658336639404297e-07,0.0004982948303222656
FibonacciHeap,100000,4.980564117431641e-07,0.0004980564117431641,9.698867797851562e-07,0.0005004405975341797,9.992122650146484e-07,0.0004999637603759766
FibonacciHeap,1000000,0.0,4.718303680419922e-05,1.4998912811279298e-06,0.0005283355712890625,1.4996528625488281e-06,0.0005004405975341797
FibonacciHeap,10000000,0.0,2.0885467529296874e-05,4.99725341796875e-07,0.000499725341796875,9.97304916381836e-07,0.0004990100860595703
